Rank,Score,Autonomous Coding Skills,Driver Skills,Team Number,Team Name,Organization,Event Region
6038,8,0,8,1574K,Kit-Kat,OLD BRIDGE ELEMENTARY SCHOOL,Virginia
6039,8,0,8,1574X,Network,OLD BRIDGE ELEMENTARY SCHOOL,Virginia
6040,8,0,8,90093D,Riverview Robotics D,Riverview Elementary School,Indiana - Region 1 - North
6041,8,0,8,85386C,Giant Tech Squad,FRANCES SLOCUM ELEMENTARY SCHOOL SCHOOL,Indiana - Region 1 - North
6042,8,0,8,63363W,Berry Blitz,Logansport Intermediate School,Indiana - Region 1 - North
6043,8,0,8,56864C,Nuclear Chicken Wings,HOOVER ELEMENTARY SCHOOL,Iowa
6044,8,0,8,44501B,TTBBDD,BLOOMER ELEMENTARY SCHOOL,Iowa
6045,8,0,8,77525B,Rosa Parks Rockets,Rosa Parks Elementary School,Indiana - Region 2 - Central
6046,8,0,8,95235C,New Middletown Rangers Build-a-Bot,New Middletown Elementary School,Indiana - Region 3 - South
6047,8,0,8,21572B,SCS Tigerbots #2,THE STANLEY CLARK SCHOOL,Indiana - Region 1 - North
6048,8,0,8,10452V,Vex Vikings,Haslett Robotics Club,Michigan
6049,7,7,0,64188A,矩阵,zhikujiaoyu,North China
6050,7,7,0,80077C,DFD-C,Dongfengdong Road Primary School(Tian Lun),South China
6051,7,7,0,23901B,The Cyborg Chameleons,CAMBEIRO  ARTURO ELEMENTARY SCHOOL,Nevada
6052,7,7,0,7707Z,Zooming Zionsville,Pleasant View Elementary Zionsville,Indiana - Region 2 - Central
6053,7,7,0,50146A,Las Lomas,Las Lomas Elementary School,Texas - Region 4
6054,7,0,7,7500B,B-B 8s,David E Norman Elementary School,Nevada
6055,7,0,7,4183B,Wild Robotz,Woodland Hills School District,Pennsylvania - West
6056,7,0,7,8945C,Robo Dinos,Creekside Neighborhood,Colorado
6057,7,0,7,2005F,Mountain Lions,ALPINE ELEMENTARY SCHOOL,Colorado
6058,7,0,7,82721B,Dodgers,ROZET ELEMENTARY,Wyoming
6059,7,0,7,22278F,22278E,Fawn Hollow Elementary School,Connecticut
6060,7,0,7,2073A,Krypto Coders,ANNE WATSON ELEMENTARY SCHOOL,Arkansas
6061,7,0,7,21043B,Crockett Robotics,CROCKETT ELEMENTARY SCHOOL,Texas - Region 5
6062,7,0,7,53791A,Cyber Jets,GLENMORE ELEMENTARY SCHOOL,Texas - Region 5
6063,7,0,7,3547D,VIRUS Ninja Animals,Technolgy First,Michigan
6064,7,0,7,83922J,Sotero Bots,Sotero Figueroa ,Puerto Rico
6065,7,0,7,18551B,Be the Builders,WALNUT PARK ELEMENTARY,California - South
6066,7,0,7,22532A,Carlin Robotics Team,CARLIN COMBINED SCHOOL,Nevada
6067,7,0,7,30866B,Super Hooper Cougars B,Hooper Avenue Elementary School,California - South
6068,7,0,7,3564A,Bruree NS,St Patricks NS,Ireland
6069,7,0,7,31583A,Garrydoolis NS,Garrydoolis NS,Ireland
6070,7,0,7,99553G,The Studs,AURELIA COLE ACADEMY,Florida - North/Central
6071,7,0,7,97695A,Cleadon Academy ,Cleadon Church of England Academy ,United Kingdom
6072,7,0,7,99744B,Forest Dale Elementary,FOREST DALE ELEMENTARY SCHOOL,Indiana - Region 2 - Central
6073,7,0,7,6169B,Roarbots II,Palmetto Elementary School,Florida - South
6074,7,0,7,5253H,Eagle Engineers 5253H,American International School Hong Kong,Hong Kong
6075,7,0,7,59341B,Northern Heights Elementary,NORTHERN HEIGHTS ELEMENTARY SCHOOL,Indiana - Region 1 - North
6076,7,0,7,2135D,2135D,太原森孚机器人,Middle China
6077,7,0,7,17527B,广州市天河区泰安小学,17527B,South China
6078,7,0,7,2259B,2259B,Darkinjung Barker,Australia
6079,7,0,7,27661C,RBE C,RUCKER BOULEVARD ELEMENTARY SCHOOL,Alabama
6080,7,0,7,8670P,bbotica titans,Bbotica Robotics,Uganda
6081,7,0,7,30155A,DAFFODILS CODE CRUSHERS,DAFFODILS PRIMARY SCHOOL,Uganda
6082,7,0,7,76541A,GRACE QUANTUM ALLIES,GRACE PROJECT INTERNATIONAL SCHOOL,Uganda
6083,7,0,7,40155B,The Robo Panthers,African School of Innovations Science and Technology/e2 Young Engineers Kampala-Uganda,Uganda
6084,7,0,7,25601A,THE AI AVENGERS,THE STONERIDGE SCHOOL,Uganda
6085,7,0,7,76557A,BSK TRAILBLAZERS,BRITISH SCHOOL OF KAMPALA,Uganda
6086,7,0,7,16845C,Talking Heads ,CRADLEBOARD SCHOOL,Arizona
6087,7,0,7,2714A,ONEDPRO,ONEDPRO,Hong Kong
6088,7,0,7,21216B,Harmony,KIPP Harmony,Maryland
6089,7,0,7,83120B,Cyber Masters,New Dawn Academy,Michigan
6090,7,0,7,811C,Greene,P H GREENE ELEMENTARY SCHOOL,Texas - Region 3
6091,7,0,7,811B,Greene,P H GREENE ELEMENTARY SCHOOL,Texas - Region 3
6092,7,0,7,89380A,星轨追光者,Wu Ge Nai Ba Growth Centers,West China
6093,7,0,7,71327B,Denmark White,DENMARK ELEMENTARY,Tennessee
6094,7,0,7,1800Z,HTS Hawks,Holy Trinity School,Ontario
6095,7,0,7,1470B,Mane Machine,Thelma Barker Elementary School ,Tennessee
6096,7,0,7,740A,Apex Titans,Mountain West Montessori,Texas - Region 1
6097,7,0,7,95139C,EPE Team 3,Ellison Park School,Utah
6098,7,0,7,5442A,The Panther Bots,DOVER ELEMENTARY,Tennessee
6099,7,0,7,1800Y,HTS Hawks,Holy Trinity School,Ontario
6100,7,0,7,80491F,Robot Pizza Sharks,RED HAWK ELEMENTARY,Colorado
6101,7,0,7,3337C,DSA 3,DSA Academy@BN,Singapore
6102,7,0,7,15029C,Robotic Rangers,WEST SMITHS STATION ELEMENTARY SCHOOL,Alabama
6103,7,0,7,26995D,Spark Sparklers,EAST SMITHS STATION ELEMENTARY SCHOOL,Alabama
6104,7,0,7,33898A,FSC BG 01,"Trường tiểu học, THCS & THPT FPT Bắc Giang",Vietnam
6105,7,0,7,79813X,Robokids,STEAM for Vietnam Foundation,Vietnam
6106,7,0,7,4862C,CEPI 3,CEPI CHETUMAL,Mexico
6107,7,0,7,2223R,CSNS The Wheelie Good Bots,College Street Normal School,New Zealand
6108,7,0,7,52111E,IC Tech Titans,Investigator College,Australia
6109,7,0,7,97686A,YLLPE Wai Chow School,Yuen Long Long Ping Estate Wai Chow School,Hong Kong
6110,7,0,7,30411A,Coral Park Elementary Robo Cubs,CORAL PARK ELEMENTARY SCHOOL,Florida - South
6111,7,0,7,24627A,HPE Robo-Engineers,HOLLYWOOD PARK ELEMENTARY SCHOOL,Florida - South
6112,7,0,7,88455A,No Fear,FAITH Inc.,Kentucky
6113,7,0,7,66544C,MechanicalMenaces,MOORESVILLE CHRISTIAN ACADEMY,Indiana - Region 2 - Central
6114,7,0,7,4430T,Tuna Sandwiches,WEST HARDIN MIDDLE SCHOOL,Kentucky
6115,7,0,7,38821B,Blitz Bots,EAST AMORY SCHOOL,Mississippi
6116,7,0,7,492E,Techy Bot 67,Austin RoboPack,Minnesota
6117,7,0,7,77640P,Power Girls,Centro Educativo Los Laureles,Paraguay
6118,7,0,7,43350H,Quackity Robots,EAST WASHINGTON MIDDLE SCHOOL,Indiana - Region 3 - South
6119,7,0,7,8215C,Ka'ōhao Iwotics,Ka'ohao Iwotics,Hawaii
6120,7,0,7,823A,NPE Discovery ,NORTH POINTE ELEMENTARY SCHOOL,Texas - Region 3
6121,7,0,7,57773J,Brasher Jags,Mabel Brasher Montessori,Louisiana
6122,7,0,7,3333H,The Challengers,Notre Dame Prep,Michigan
6123,7,0,7,8240B,Bot Bros,CENTENNIAL ELEMENTARY,Colorado
6124,7,0,7,26034D,Pickle Bagels,SANBORN ELEMENTARY SCHOOL,Colorado
6125,7,0,7,22330D,Lion Quest,BRINDLEE MOUNTAIN ELEMENTARY SCHOOL,Alabama
6126,7,0,7,55608B,Brownie Bakers,PARAMOUNT COTTAGE HOME,Indiana - Region 2 - Central
6127,7,0,7,1709C,The 4 in the Robot,FLORENCE WILSON ELEMENTARY SCHOOL,Kansas
6128,7,0,7,19929A,Dreambotics,CARTWRIGHT  ROBERTA C ELEMENTARY SCHOOL,Nevada
6129,7,0,7,87548A,Roadrunners,PLACE BRIDGE ACADEMY,Colorado
6130,7,0,7,96835A,WDS Lioncubs1,WM DAVID SURRATT ELEMENTARY SCHOOL,Texas - Region 1
6131,7,0,7,20319B,Redstone,BATTLES (WASHINGTON) ELEMENTARY,California - South
6132,7,0,7,1120F,Ten Ton Robotics,West Vancouver Schools,British Columbia (BC)
6133,7,0,7,95856A,Circuit Makers,Montessori Academy of Celebration,Florida - North/Central
6134,7,0,7,91312B,Albany Wildcats Team B,Albany Elementary School,Indiana - Region 1 - North
6135,7,0,7,46839D,Cosmic Rovers,BEIGER ELEMENTARY SCHOOL,Indiana - Region 1 - North
6136,7,0,7,80496D,The Sassafras Cats,HOMECROFT ELEMENTARY SCHOOL,Indiana - Region 2 - Central
6137,7,0,7,10972D,The Girl Legends,INDIAN PEAKS ELEMENTARY SCHOOL,Colorado
6138,7,0,7,10972B,The Vex Girlies,INDIAN PEAKS ELEMENTARY SCHOOL,Colorado
6139,7,0,7,31114Z,Brown Elementary Robotics,BROWN  HANNAH MARIE ELEMENTARY SCHOOL,Nevada
6140,7,0,7,1447F,The 6 7s,AVON GROVE INTRMD SCH,Pennsylvania - East
6141,7,0,7,58508J,Three Baked Beans,Blair-taylor Middle/high School,Wisconsin
6142,7,0,7,66703A,Dromahane NS,Dromahane NS ,Ireland
6143,7,0,7,15208A,Scoil an tSratha Mhóir,Stramore National School,Ireland
6144,7,0,7,71786R,The Ray Robobs,Ray National School- (14941G),Ireland
6145,7,0,7,60959B,Livingston Robotics,Livingston Elementary School,Georgia
6146,7,0,7,18266B,FCA - 002,Fredericton Christian Academy ,New Brunswick/Nova Scotia/Prince Edward Island
6147,7,0,7,1506T,Six Seven Hawks,Pact Charter School,Minnesota
6148,7,0,7,74062B,Tigers 2,Bland Elementary School,Texas - Region 2
6149,7,0,7,78665C,GhostBotHippos,VETERANS HILL ELEMENTARY SCHOOL,Texas - Region 4
6150,7,0,7,36498C,MACS Phoenix,MICROSOCIETY ACADEMY CHARTER SCHOOL OF SOUTHERN NH,New Hampshire/Vermont
6151,7,0,7,79501B,Buckaroo Bots,COLLEGE OAKS ELEMENTARY SCHOOL,Louisiana
6152,7,0,7,72397E,Chestatee Eaglebots 5,CHESTATEE ELEMENTARY,Georgia
6153,7,0,7,17157A,The Robotic Neurons,The Nysmith School,Virginia
6154,7,0,7,32416B,Lincoln Elementary Team B,PRESIDENT ABRAHAM LINCOLN ELEMENTARY SCHOOL,Hawaii
6155,7,0,7,43426B,Blue Dolphins,Girl Scouts of Northern CA,California - North
6156,7,0,7,10091B,LunaTechs,KEAAU ELEMENTARY SCHOOL,Hawaii
6157,7,0,7,96601B,KoleaBots B,CHIEFESS KAPIOLANI ELEMENTARY SCHOOL,Hawaii
6158,7,0,7,97511B,RoboTechB,BASIS International School Bangkok,Thailand
6159,7,0,7,91217E,Electric Coders,ELK ELEMENTARY CENTER,West Virginia
6160,7,0,7,63962B,Sharon Dawes,SHARON DAWES ELEMENTARY SCHOOL,West Virginia
6161,7,0,7,90050B,Elektrabots ,HALLDALE ELEMENTARY,California - South
6162,7,0,7,6438B,Russell Robotics B,RUSSELL ELEMENTARY,California - South
6163,7,0,7,42239A,The Sweats,KERMIT JOHNSON SCHOOL,Alabama
6164,7,0,7,3740B,Farmdale Hawks B,Farmdale Elementary School,California - South
6165,7,0,7,3265A,Robey Rockets- Alpha,ROBEY ELEMENTARY SCHOOL,Indiana - Region 2 - Central
6166,7,0,7,4722W,West Tampa Robotics,WEST TAMPA ELEMENTARY SCHOOL,Florida - North/Central
6167,7,0,7,42714T,Mighty Mechanical Manatees,Triangle Elementary School,Florida - North/Central
6168,7,0,7,36402F,Lightningbots,HARRISON HILL ELEMENTARY SCHOOL,Indiana - Region 2 - Central
6169,7,0,7,57913A,Trailblazers 1,SUNNYSIDE ELEMENTARY SCHOOL,Indiana - Region 2 - Central
6170,7,0,7,40138A,Clarks Creek QuakerBots,Clarks Creek Elementary,Indiana - Region 2 - Central
6171,7,0,7,3931F,Foxes 837,CAMPTON ELEMENTARY SCHOOL,New Hampshire/Vermont
6172,7,0,7,73298A,Tigerbots A,ALEXANDRIA-MONROE ELEMENTARY,Indiana - Region 1 - North
6173,7,0,7,1285A,Turner Titans,J E TURNER ELEMENTARY,Alabama
6174,7,0,7,45386A,Martin Robot Tigers A,T. C. MARTIN ELEMENTARY SCHOOL,Maryland
6175,7,0,7,30636T,TMA Team ,TUSTIN MEMORIAL ELEMENTARY,California - South
6176,7,0,7,2804S,Sycamore Magnet Academy,Sycamore Magnet Academy,California - South
6177,7,0,7,65200C,RoboRam,MILTON ELEMENTARY SCHOOL,New Hampshire/Vermont
6178,7,0,7,5377D,Tillery Team Two,FRANK TILLERY ELEMENTARY SCHOOL. SCHOOL,Arkansas
6179,7,0,7,22330B,Revenge of the Lions,BRINDLEE MOUNTAIN ELEMENTARY SCHOOL,Alabama
6180,7,0,7,39562A,tECH Sparks,East Central Upper Elementary,Mississippi
6181,7,0,7,3705E,"Gamers J, L, & T",Crestline Elementary School,Alabama
6182,7,0,7,740B,Apex Titans,Mountain West Montessori,Texas - Region 1
6183,7,0,7,56903D,Robo Crushers,TIMBERLINE PK-8,Colorado
6184,7,0,7,2014E,Team F3,Sandpiper School,California - North
6185,7,0,7,5139A,The Cool Bots,ROAN FOREST ELEMENTARY SCHOOL,Texas - Region 4
6186,7,0,7,13301A,Central CyberDAWGS,CLINTON CENTRAL ELEMENTARY SCHOOL,Indiana - Region 1 - North
6187,7,0,7,83501B,BES Borgs,BREAK-O-DAY ELEMENTARY SCHOOL,Indiana - Region 2 - Central
6188,7,0,7,4440D,Eaglebotics Dino Nuggies V.2,EAGLE CREST ELEMENTARY SCHOOL,Colorado
6189,7,0,7,50145D,CIBOLO GREEN ES,CIBOLO GREEN ES,Texas - Region 4
6190,7,0,7,5127A,Bronco Bots,NORTHERN HILLS ELEMENTARY SCHOOL,Texas - Region 4
6191,7,0,7,37135A,RoboRoadrunners,EDGEMERE ELEMENTARY SCHOOL,Texas - Region 1
6192,7,0,7,71237A,PMAC Cougars,PIETZSCH/MAC ARTHUR ELEMENTARY SCHOOL,Texas - Region 3
6193,7,0,7,12003A,Eaglebots,WESTERN WAYNE ELEMENTARY SCHOOL,Indiana - Region 1 - North
6194,7,0,7,42218R,TC ROARbotics,TRITON CENTRAL ELEMENTARY SCHOOL,Indiana - Region 2 - Central
6195,7,0,7,34004A,Austin1,Austin Elementary - Galveston ISD,Texas - Region 3
6196,7,0,7,23500C,Gizmotron,EDKEY INC. - PATHFINDER ACADEMY AT EASTMARK,Arizona
6197,7,0,7,37952B,Gears and the Grove,Pleasant Grove Elementary School,Alabama
6198,7,0,7,20774A,Sharjah Squad,International School Of Choueifat-Sharjah,United Arab Emirates
6199,7,0,7,550A,Full Metal Friendship,PLEASANT CROSSING ELEMENTARY,Indiana - Region 2 - Central
6200,7,0,7,18970B,Newland STEM TWO,Newland House,United Kingdom
6201,7,0,7,50019P,St. Mary's PS Edenderry Zig,Edenderry Convent National School- (16013V),Ireland
6202,7,0,7,90026A,Rosemont Phoenix Robotics Club,Rosemont Avenue Elementary School,California - South
6203,7,0,7,17046B,Winnetka Whales,Winnetka Avenue Elementary School,California - South
6204,7,0,7,82394A,Tollcross Titans,Tollcross Primary School ,United Kingdom
6205,7,0,7,34217A,AME Fins,ANNA MARIA ELEMENTARY SCHOOL,Florida - North/Central
6206,7,0,7,68346B,Sticky Weasels,VIKING ELEMENTARY SCHOOL,North Dakota
6207,7,0,7,480C,RoboHippos-C,NADINE JOHNSON ELEMENTARY SCHOOL,Texas - Region 4
6208,7,0,7,6169A,Roarbots,Palmetto Elementary School,Florida - South
6209,7,0,7,65967C,Redhawks Robotics,MERLE SIDENER GIFTED ACADEMY,Indiana - Region 2 - Central
6210,7,0,7,17703A,Team Kenji,Jackson Elementary School,Tennessee
6211,7,0,7,1273A,Little Lions,Heritage Homeschool Co-op,South Carolina
6212,7,0,7,2581B,Bolt Bisons,CARONDELET CATHOLIC,Minnesota
6213,7,0,7,36827D,Lincoln Lynx X,LINCOLN SCHOOL,Utah
6214,7,0,7,2042S,Team BEAZ,Geek2Geek,California - South
6215,7,0,7,36689E,4-H Bot Breakers,Alabama 4-H,Alabama
6216,7,0,7,26500D,26500 Dino Nugs,CLARK DAVIDSON ELEMENTARY SCHOOL,Kansas
6217,7,0,7,95170B,Bionic Bulldogs,Thomas D Gregg School 15,Indiana - Region 2 - Central
6218,7,0,7,9050K,Hawks 9050 14 Guac And Microchips,Harvest Ridge Cooperative Charter,California - North
6219,7,0,7,76164A,Fairview Wildcats,Fairview Elementary School,Indiana - Region 3 - South
6220,7,0,7,19044B,McKinley’s Bot Builders,MCKINLEY ELEMENTARY,California - South
6221,7,0,7,30517H,EIS Eagles - H,EDGEWOOD INTERMEDIATE SCHOOL,Indiana - Region 3 - South
6222,7,0,7,34204B,Daughtrey B,BLANCHE H. DAUGHTREY ELEMENTARY,Florida - North/Central
6223,7,0,7,290N,Nova Spark,Orley Farm School,United Kingdom
6224,7,0,7,58508B,Trailblazers,Blair-taylor Middle/high School,Wisconsin
6225,7,0,7,46617B,TatorBots,Robinson Community Learning Center,Indiana - Region 1 - North
6226,7,0,7,93901C,TPOMPS C,Tai Po Old Market Public School,Hong Kong
6227,7,0,7,45967A,St. Vincent de Paul Senior School,St. Vincent de Paul Senior School Marino,Ireland
6228,7,0,7,57026B,South Robotics Team 2,South Elementary,Tennessee
6229,7,0,7,67998C,Eagles,CORTLAND ELEMENTARY SCHOOL,Indiana - Region 3 - South
6230,7,0,7,47260C,Medora C,Medora STEM Academy,Indiana - Region 3 - South
6231,7,0,7,68717B,RoboJet,San Jacinto Elementary School,Texas - Region 2
6232,7,0,7,89360A,Collegeville Hornets Team 1,COLLEGEVILLE ELEMENTARY SCHOOL,Arkansas
6233,7,0,7,25917B,Erskine All-Stars 2,Erskine Elememtary School,Indiana - Region 1 - North
6234,7,0,7,68346A,Flaming Potatoes,VIKING ELEMENTARY SCHOOL,North Dakota
6235,7,0,7,7810H,The Anchors,Mount Olive Lutheran School,Wisconsin
6236,7,0,7,11027A,CFI 2 Steampunk Panther Robotics,CENTER FOR INQUIRY SCHOOL 2,Indiana - Region 2 - Central
6237,7,0,7,90045B,South Haven Techno Team,SOUTH HAVEN ELEMENTARY SCHOOL,Indiana - Region 1 - North
6238,7,0,7,51585S,Sakamoto Samurai Robotics (SSR),Sakamoto Robotics Team,California - North
6239,7,0,7,91910A,Cheetah Bots A,Chula Vista Hills Elementary School,California - South
6240,7,0,7,20823A,Clear View Robotics T1,Clear View Elementary ,California - South
6241,7,0,7,98781B,The Subs,SANDY GROVE ELEMENTARY,North Carolina
6242,7,0,7,98781A,Donut Rovers,SANDY GROVE ELEMENTARY,North Carolina
6243,7,0,7,53426A,Upchurch Elementary Eagles 1,UPCHURCH ELEMENTARY,North Carolina
6244,7,0,7,53426B,Upchurch Elementary Eagles,UPCHURCH ELEMENTARY,North Carolina
6245,7,0,7,59591B,Farm BOTS,Shawswick Elementary,Indiana - Region 3 - South
6246,7,0,7,33273A,Circuit Breakers A,AVILLA ELEMENTARY SCHOOL,Indiana - Region 1 - North
6247,7,0,7,91187A,Arlington Eagle Bots,ARLINGTON HEIGHTS ELEMENTARY SCH,Indiana - Region 3 - South
6248,7,0,7,17677B,Tech Titans,Swanson Traditional,Indiana - Region 1 - North
6249,7,0,7,12311D,Lil' Clankers,MIDLAND SCHOOL,Utah
6250,7,0,7,93111B,Shambot II,WESTFIELD INTERMEDIATE SCHOOL,Indiana - Region 2 - Central
6251,7,0,7,94575B,Cougars B,SOUTH DECATUR ELEMENTARY SCHOOL,Indiana - Region 3 - South
6252,7,0,7,12098A,CM Hawks,COUNTRY MEADOW ELEMENTARY SCHOOL,Indiana - Region 1 - North
6253,7,0,7,76277A,Wildcats,WATERLOO ELEMENTARY SCHOOL,Indiana - Region 1 - North
6254,7,0,7,87035E,The  Mechanical Vikings,BLUE RIVER VALLEY ELEMENTARY SCH,Indiana - Region 1 - North
6255,7,0,7,3988F,Firestorm,Irvine Robotics,California - South
6256,7,0,7,36827E,Lincoln Lynx S,LINCOLN SCHOOL,Utah
6257,7,0,7,51061A,Lakeroids Gold Mambas,LAKEWOOD ELEMENTARY SCHOOL,West Virginia
6258,7,0,7,41557B,SJIBOTSB,St John's Catholic School,Kentucky
6259,7,0,7,11966F,Smith Robotos,CHARLES L SMITH FINE ARTS ACADEMY,Indiana - Region 2 - Central
6260,7,0,7,11027C,CFI 2 Steampunk Panther Robotics,CENTER FOR INQUIRY SCHOOL 2,Indiana - Region 2 - Central
6261,7,0,7,11966A,Smith Bruin-Bots,CHARLES L SMITH ELEMENTARY SCHOOL,Indiana - Region 2 - Central
6262,7,0,7,59049B,Melrose Cyber Cardinals,Melrose Elementary School,West Virginia
6263,7,0,7,87587D,The Lakeland Pistons,Lakeland Intermediate School,Indiana - Region 1 - North
6264,7,0,7,30843A,Rockin' Robos,COESSE SCHOOL,Indiana - Region 1 - North
6265,7,0,7,19273B,Ogrebots Green,ARLINGTON ELEMENTARY SCHOOL,Indiana - Region 1 - North
6266,6,6,0,3130A,Robo Dyno Nuggies,Franklin Elementary School,Iowa
6267,6,6,0,9050B,Hawks 9050 3 Bot Baddies (black),Harvest Ridge Cooperative Charter,California - North
6268,6,4,2,138C,QRCA - Green,AAA Training and Tuition (RTO 46396),Australia
6269,6,2,4,21740B,RKA Rapid Robots,BESTER ELEMENTARY,Maryland
6270,6,2,4,1125A,Pink Ponies,Harrison Middle School,Arkansas
6271,6,2,4,92082A,The Electric Engineers,J.A. FAIR HIGH SCHOOL,Arkansas
6272,6,2,4,69153Y,Scoil Naomh Eltin,Scoil Naomh Eltin,Ireland
6273,6,2,4,59133A,Three Creek Robotics,THREE CREEKS ELEMENTARY SCHOOL SCHOOL,Indiana - Region 1 - North
6274,6,1,5,37766A,动感超人,首都师范大学附属育新学校,North China
6275,6,0,6,20721B,Golden Nuggets,Ravenswood School for Girls,Australia
6276,6,0,6,90004D,Falcon Droids,Frank Del Olmo Elementary School,California - South
6277,6,0,6,84737C,Fastback,LAMAR ELEMENTARY SCHOOL,Texas - Region 5
6278,6,0,6,1574Y,Goofy Goobers,OLD BRIDGE ELEMENTARY SCHOOL,Virginia
6279,6,0,6,12214E,Convey Guys,ABRAHAM LINCOLN ELEMENTARY SCHOOL,Indiana - Region 2 - Central
6280,6,0,6,2259E,2259E,Darkinjung Barker,Australia
6281,6,0,6,23660G,LK JS 7,Loreto Kirribilli,Australia
6282,6,0,6,23272D,RoboStackers,Caston Robotics,Indiana - Region 1 - North
6283,6,0,6,42218S,TC ROARbotics,TRITON CENTRAL ELEMENTARY SCHOOL,Indiana - Region 2 - Central
6284,6,0,6,37700H,Team H,LILLIE IDELLA KITLEY ELEMENTARY,Indiana - Region 2 - Central
6285,6,0,6,6581D,Bulldog Builders,BARKELL ELEMENTARY SCHOOL,Michigan
6286,6,0,6,46563E,Webster Robot Warriors,WEBSTER ELEMENTARY SCHOOL,Indiana - Region 1 - North
6287,6,0,6,15486A,The Fiery Nachos,VISTA SCHOOL,Utah
6288,6,0,6,15486J,DRAGON MASTERS RIDES AGAIN,VISTA SCHOOL,Utah
6289,6,0,6,38821Z,R2D2,EAST AMORY SCHOOL,Mississippi
6290,6,0,6,38821C,Sour Patch Kids,EAST AMORY SCHOOL,Mississippi
6291,6,0,6,60835C,The Robo-Sharks,Groveland Elementary School,Florida - North/Central
6292,6,0,6,15451C,The Mechanical Bananas ,R BROWN  MCALLISTER ELEMENTARY,North Carolina
6293,6,0,6,21314B,Coulston B,COULSTON ELEMENTARY SCHOOL,Indiana - Region 2 - Central
6294,6,0,6,19554F,Las Cucarachas,LYONS ELEMENTARY SCHOOL,Colorado
6295,6,0,6,52308A,Heavy Metal Mustangs,B H MACON ELEMENTARY SCHOOL,Texas - Region 2
6296,6,0,6,4726G,Shugart G,SHUGART ELEMENTARY SCHOOL,Texas - Region 5
6297,6,0,6,6581E,Barkell's Snake,BARKELL ELEMENTARY SCHOOL,Michigan
6298,6,0,6,35626A,Denison - Ursa Major,DENISON MONTESSORI SCHOOL,Colorado
6299,6,0,6,10243N,Nice-N-Noisy,COAL MOUNTAIN ELEMENTARY SCHOOL,Georgia
6300,6,0,6,80602A,Tech Titans,STAMPING GROUND ELEMENTARY SCHOOL,Kentucky
6301,6,0,6,5280P,Positive Puffins,SOARING HEIGHTS PK-8,Colorado
6302,6,0,6,8005A,Robotics Rams,Rocky Mountain Elementary School,Colorado
6303,6,0,6,84608B,Cyber Cowboys,A. A. NELSON ELEMENTARY SCHOOL,Louisiana
6304,6,0,6,33170A,Gaelscoil Mhainistir na Corann,Gaelscoil Mhainistir na Corann,Ireland
6305,6,0,6,46677A,The Waddles,CENTRAL ELEMENTARY SCHOOL SCH,Pennsylvania - West
6306,6,0,6,83000Z,ZeekrDMS,"British international School Phuket,",Thailand
6307,6,0,6,47376B,Elm EagleBots II,ELM ROAD ELEMENTARY SCHOOL,Indiana - Region 1 - North
6308,6,0,6,52122C,Queen of Panda's,John F. Kennedy Day School,Arizona
6309,6,0,6,11109B,Oaklandon Bionix,Oaklandon Elementary,Indiana - Region 2 - Central
6310,6,0,6,46706C,Bell Bots,Bell Intermediate Academy,Indiana - Region 2 - Central
6311,6,0,6,72365D,Cougar-Bots D,MAXWELL INTERMEDIATE SCHOOL,Indiana - Region 2 - Central
6312,6,0,6,90093C,Riverview Robotics C,Riverview Elementary School,Indiana - Region 1 - North
6313,6,0,6,53422A,FME Robokids 1,FRANK MACIAS ELEMENTARY SCHOOL,Texas - Region 1
6314,6,0,6,28100B,Kaimiloa Robotics Team B,Kaimiloa Elementary School,Hawaii
6315,6,0,6,72148A,Browney Bots,Browney Primary Academy,United Kingdom
6316,6,0,6,62543A,ECPS 25/26,Easington Colliery Primary School,United Kingdom
6317,6,0,6,22278C,22278,Fawn Hollow Elementary School,Connecticut
6318,6,0,6,1260F,Roaring Raptors,BLUE MOUNTAIN ELEMENTARY,Colorado
6319,6,0,6,11216E,Taco Bell Strawberries,COLUMBINE ELEMENTARY SCHOOL,Colorado
6320,6,0,6,76542B,The Pickles,WALZEM ELEMENTARY SCHOOL,Texas - Region 4
6321,6,0,6,27661E,NIGHTHAWKS,RUCKER BOULEVARD ELEMENTARY SCHOOL,Alabama
6322,6,0,6,44640A,Aztec Bots,LANCASTER ELEMENTARY SCHOOL,Texas - Region 1
6323,6,0,6,27661A,RBE A,RUCKER BOULEVARD ELEMENTARY SCHOOL,Alabama
6324,6,0,6,11296A,Idylwild,Idylwild Elementary,Florida - North/Central
6325,6,0,6,14675E,EES Horses,EAST ELEMENTARY SCHOOL,Indiana - Region 2 - Central
